Id_Chanson,Id_Chanson_Parent,Titre_Chanson,Annee_Creation_Chanson,Categories_Chanson,Langues_Chanson,Lieux_Origines_Chanson,Autre_Titre_Chanson,Note_Chanson,Relation_Chanson_Autorite,Id_Autorite,Forme_Retenue_Autorite,Forme_Nom_Veritable,Formes_Anciennes,Formes_Non_Retenues,Formes_Autres_Retenues,Type_Autorite,Date_Naissance_Autorite,Date_Deces_Autorite,Lieux_Naissances_Autorite,Lieux_Activites_Autorite,Note_Autorite,Id_Autorites_Membres_Groupes,Id_Autorites_Evolutions,Id_Autorites_Partenariats
1,,"I wish I were a princess",1963,"","anglais","","","","Auteur; Compositeur",3592,"Creatore, Luigi, 1921-","","","Lawrence, Fred, 1921-; Limber, Jack, 1921-; Markwell, Mark, 1921-","","Physique","1921-12-21","????-??-??","États-Unis; New York","États-Unis; New York","Auteur-compositeur et producteur de disques. Les compositions de Creatore, Luigi, 1921- et Peretti, Hugo, 1916-1986 sont parfois publiées sous le pseudonyme de Markwell, Mark.","18348","",""
1,,"I wish I were a princess",1963,"","anglais","","","","Interprète",7135,"Hickman, Sara, 1963-","","","","","Physique","1963-03-01","????-??-??","États-Unis; Caroline du Nord","États-Unis; Caroline du Nord","Auteure-compositrice-interprète et guitariste de rock, folk, pop et chansons pour enfants.","","",""
1,,"I wish I were a princess",1963,"","anglais","","","","Interprète",9873,"March, Peggy, 1948-","Battavio, Margaret Annemarie, 1948-","","March, Little Peggy, 1948-","","Physique","1948-03-08","????-??-??","États-Unis; Pennsylvanie","États-Unis; Pennsylvanie","Chanteuse de pop.","","",""
1,,"I wish I were a princess",1963,"","anglais","","","","Auteur; Compositeur",11998,"Peretti, Hugo, 1916-1986","Peretti, Hugo E., 1916-1986","","","","Physique","1916-12-06","1986-05-01","États-Unis; New York","États-Unis; New York","Auteur-compositeur et producteur de disques. Les compositions de Creatore, Luigi, 1921- et Peretti, Hugo, 1916-1986 sont parfois publiées sous le pseudonyme de Markwell, Mark.","18348","",""
1,,"I wish I were a princess",1963,"","anglais","","","","Auteur; Compositeur",16012,"Weiss, George David, 1921-2010","Weiss, George David, 1921-2010","","Weiss, George, 1921-2010","","Physique","1921-04-09","2010-08-23","États-Unis; New York","États-Unis; New York","Auteur-compositeur.","","",""
2,,"Oh babe you're gonna wonder",1963,"","anglais","","Oh baby you're gonna wonder","","Interprète",11483,"Ofarim, Esther, 1941-","","","","","Physique","1941-06-13","????-??-??","Israël","Israël","Chanteuse.","","","21012"
2,,"Oh babe you're gonna wonder",1963,"","anglais","","Oh baby you're gonna wonder","","Auteur; Compositeur",11913,"Paxton, Tom, 1937-","Paxton, Thomas Richard, 1937-","","","","Physique","1937-10-31","????-??-??","États-Unis; Illinois","États-Unis; Oklahoma","Auteur-compositeur-interprète et guitariste de folk. Né en Illinois; grandi en Oklahoma à partir de l'âge de 11 ans.","","",""
2,,"Oh babe you're gonna wonder",1963,"","anglais","","Oh baby you're gonna wonder","","Interprète",21012,"Ofarim, Esther et Ofarim, Abi (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","11482; 11483"
3,,"Deborah",1968,"","italien","","","","Auteur; Compositeur",3359,"Conte, Paolo, 1937-","","","","","Physique","1937-01-06","????-??-??","Italie","Italie","Chanteur et musicien de jazz et de pop.","","",""
3,,"Deborah",1968,"","italien","","","","Interprète",8870,"Leali, Fausto, 1944-","","","","","Physique","1944-10-29","????-??-??","Italie","Italie","Auteur-compositeur-interprète de pop, soul et blues.","","",""
3,,"Deborah",1968,"","italien","","","","Auteur; Compositeur",11705,"Pallavicini, Vito, 1924-2007","","","Calimero, 1924-2007","","Physique","1924-04-22","2007-08-16","Italie","Italie","Parolier.","","",""
3,,"Deborah",1968,"","italien","","","","Interprète",12153,"Pickett, Wilson, 1941-2006","","","The Wicked Wilson Pickett, 1941-2006","","Physique","1941-03-18","2006-01-19","États-Unis; Alabama","États-Unis; Alabama","Auteur-compositeur-interprète de rhythm and blues, rock and roll, soul et southern soul.","","",""
3,,"Deborah",1968,"","italien","","","","Auteur; Compositeur",14075,"Sigman, Carl, 1909-2000","","","","","Physique","1909-09-24","2000-09-26","États-Unis; New York","États-Unis; New York","Auteur-compositeur.","","",""
4,,"Mom and dad's waltz",1951,"","anglais","","","","Auteur; Compositeur; Interprète",5700,"Frizzell, Lefty, 1928-1975","Frizzell, William Orville, 1928-1975","","","","Physique","1928-03-31","1975-07-19","États-Unis; Texas","États-Unis; Arkansas","Auteur-compositeur-interprète et musicien de country. Né au Texas; grandi en Arkansas.","","",""
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",9194,"Lewis, Jerry Lee, 1935-","Lewis, Jerry Lee, 1935-","","Jerry Lee Lewis and his Pumping Piano, 1935-; Killer, 1935-","","Physique","1935-09-29","????-??-??","États-Unis; Louisiane","États-Unis; Louisiane","Auteur-compositeur-interprète et pianiste de rock and roll, country, rockabilly, blues, honky tonk et gospel.","18915","","21196; 21361; 21770; 21938"
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",11246,"Nelson, Willie, 1933-","Nelson, Willie Hugh, 1933-","","Red Headed Stranger, 1933-","","Physique","1933-04-30","????-??-??","États-Unis; Texas","États-Unis; Texas","Acteur et auteur-compositeur-interprète de country, country rock, outlaw country et country alternatif.","18296; 20194","","20807; 21007; 21026; 21172; 21346; 21493; 21621; 21715; 21720; 21906; 21928; 21990; 22072; 22339; 22373; 22387; 22396"
