position,word,frequence
106,where,18527936
107,years,18475373
108,need,18152024
109,him,18135444
110,back,18086300
111,such,18002390
112,those,17394626
113,being,17186684
114,day,17147221
115,take,17051169
116,while,16987528
117,here,16157575
118,before,16110780
119,does,16024521
120,great,15802739
121,year,15756464
122,go,15240443
123,help,15204513
124,want,15201049
125,really,14905838
126,think,14528861
127,best,14508216
128,life,14478608
129,each,14461675
130,made,14403756
131,right,14243466
132,world,14112944
133,business,13705631
134,home,13687649
135,own,13596911
136,down,13544228
137,still,13472686
138,used,13392282
139,find,13384274
140,around,13218230
141,going,12925606
142,every,12882762
143,both,12687801
144,last,12596956
145,off,12568448
146,too,12470769
147,same,12419285
148,information,12031414
149,little,11695673
150,another,11540840
151,look,11432731
152,few,11401511
153,long,11264930
154,part,11168135
155,since,11143932
156,things,11137850
157,place,11129389
158,am,10905198
159,between,10820784
160,during,10808095
161,different,10797013
162,must,10690628
163,come,10664434
164,using,10487785
165,however,10477701
166,without,10375679
167,high,10272381
168,why,10239970
169,something,10238690
170,online,10191169
171,system,10112358
172,better,10080112
173,three,10069875
174,never,10040300
175,always,10021039
176,love,9978269
177,say,9940058
178,might,9758074
179,next,9327423
180,company,9314939
181,state,9213709
182,number,9200697
183,again,9157338
184,free,9139571
185,lot,9110408
186,under,8999181
187,family,8942739
188,found,8871991
189,within,8821032
190,give,8816968
191,set,8815554
192,school,8755836
193,important,8743753
194,water,8685078
195,able,8670394
196,keep,8648208
197,got,8642205
198,sure,8552448
199,end,8551115
200,money,8534863
201,service,8521606
202,small,8519934
203,put,8378749
204,experience,8364514
205,having,8280863
206,once,8236139
207,available,8220464
208,health,8159671
209,support,8131832
210,often,8108755
211,including,8082359
212,days,7951767
213,away,7854419
214,old,7820868
215,area,7800194
216,feel,7775709
217,read,7745587
218,show,7710438
219,big,7641799
220,against,7635745
221,thing,7634241
222,order,7629741
223,program,7611088
224,though,7607072
225,city,7559832
226,group,7551142
227,services,7537055
228,site,7534726
229,making,7500588
230,course,7482521
231,point,7457133
232,children,7430693
233,times,7398973
234,team,7390401
235,game,7381510
236,along,7364949
237,let,7282798
238,house,7276154
239,today,7266420
240,body,7246785
241,working,7220862
242,case,7216227
243,man,7208651
244,real,7200538
245,provide,7196400
246,care,7157937
247,public,7148402
248,top,7138687
249,looking,7117515
250,several,7102789
251,start,7099284
252,less,7062487
253,process,7013084
254,become,7005933
255,actually,7003268
256,local,6986621
257,together,6940525
258,person,6926168
259,change,6915113
260,book,6893942
261,enough,6877100
262,getting,6850070
263,week,6837795
264,power,6825500
265,until,6821252
266,market,6820644
267,fact,6793786
268,god,6721690
269,food,6697065
270,students,6693375
271,full,6685773
272,women,6655732
273,community,6649245
274,name,6635921
275,second,6629530
276,data,6494503
277,government,6493787
278,says,6454215
279,others,6446289
280,ever,6427629
281,yet,6393300
282,research,6383726
283,done,6342538
284,left,6338022
285,far,6264791
286,large,6252388
287,called,6230129
288,doing,6216192
289,already,6209056
290,development,6202644
291,social,6152475
292,open,6147111
293,possible,6077457
294,side,6064135
295,play,6003199
296,means,5983711
297,needs,5968865
298,try,5945472
299,came,5943203
300,ca,5931957
301,based,5882703
302,hard,5873296
303,thought,5855929
304,products,5846806
305,national,5823955
306,quality,5795607
307,level,5787450
308,live,5765272
309,design,5743688
310,makes,5731317
311,project,5706449
312,line,5659531
313,night,5647605
314,least,5642047
315,whether,5622030
316,job,5607499
317,car,5606213
318,example,5606206
319,include,5578401
320,following,5563335
321,given,5562871
322,website,5523539
323,past,5521393
324,plan,5515382
325,offer,5514280
326,buy,5506714
327,call,5504516
328,went,5480066
329,simply,5454708
330,hand,5449925
331,music,5442615
332,easy,5419406
333,problem,5403421
334,men,5394825
335,country,5386469
336,took,5377725
337,four,5377713
338,members,5368209
339,form,5354037
340,personal,5349863
341,control,5333560
342,energy,5321630
343,room,5310225
344,head,5285296
345,pay,5250846
346,create,5231117
347,run,5230595
348,kind,5225514
349,credit,5223410
350,almost,5207417
351,believe,5167436
352,quite,5164499
353,mind,5151349
354,law,5147513
355,early,5144825
356,comes,5138026
357,states,5137104
358,usually,5132083
359,companies,5126740
360,web,5113914
361,taking,5097243
362,started,5095304
363,later,5093070
364,although,5085126
365,story,5083276
366,per,5077217
367,future,5074920
368,known,5065947
369,someone,5061146
370,across,5022474
371,rather,5020839
372,young,5004865
373,whole,5002105
374,special,4993760
375,everything,4985049
376,months,4972707
377,anything,4965642
378,training,4961986
379,url,4957073
380,bit,4940344
381,seen,4935996
382,product,4929537
383,american,4918874
384,please,4907791
385,management,4906649
386,cost,4902004
387,either,4890450
388,light,4887391
389,university,4844575
390,face,4836230
391,due,4834580
392,nothing,4822420
393,human,4818757
394,event,4798583
395,history,4791009
396,probably,4781460
397,friends,4759587
398,learn,4752159
399,current,4748143
400,tell,4746025
401,general,4744247
402,price,4743379
403,list,4734687
404,type,4714676
405,building,4712636
406,industry,4695699
407,bad,4684049
408,check,4671860
409,everyone,4646596
410,office,4646109
411,idea,4637360
412,internet,4635926
413,news,4630193
414,million,4623209
415,video,4619484
416,among,4611742
417,air,4604530
